label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
4	1124 m^2	0.7881	robotics engineering	hamster	0.0117	834	1.1548	995	Lise	1227	636	0.8554
0	226 m^2	0.2046	Biotechnology	cat	1.162	930	0.3774	181	Reilly	295	1045	0.898
4	939 m^2	0.8054	Bioinformatics	bird	0.3354	708	0.681	1074	Inan	814	742	0.6471
1	1116 m^2	0.9563	Electrical Engineering	reptile	1.0607	867	0.9904	1048	Vani	987	955	1.1655
6	917 m^2	0.8966	Technology and Information Management	pig	1.139	870	1.0529	1080	Eriq	1174	1179	0.8501
1	961 m^2	0.8344	Electrical Engineering	reptile	1.1646	1016	0.8386	1021	Vani	994	1335	0.8583
4	1002 m^2	0.6827	Robotics Engineering	guinea pig	0.0991	n/a	0.5784	943	Fabrice	907	896	0.5619
3	740 m^2	0.4267	Computer Game Design	ferret	0.9106	1157	0.8576	880	Andrew	1059	1204	0.9432
4	1030 m^2	0.7487	Robotics Engineering	guinea pig	0.3581	572	0.5127	939	Inan	1220	870	0.6594
7	1055 m^2	1.0349	Computer Engineering	cat	0.3472	905	0.6273	839	Chris	542	36	1.2212
7	836 m^2	0.539	Data Science	cat	0.7207	898	1.1054	806	Chris	984	82	1.0069
2	1116 m^2	0.7026	Games and Playable Media	rat	0.7119	1054	0.4773	143	Michael	879	338	0.1642
5	1042 m^2	0.9828	Applied Mathematics	FISH	0.5956	205	0.358	819	Fabrice	1143	711	0.7752
1	1073 m^2	1.3436	Electrical Engineering	reptile	1.093	1035	0.8942	1117	Vani	997	775	0.9931
1	1133 m^2	1.0859	Electrical Engineering	reptile	1.0008	966	0.8915	987	Fabrice	1408	1092	0.9484
4	1090 m^2	0.9307	bIOINFORMATICS	guinea pig	0.435	755	0.9033	965	Lise	1064	616	1.0821
2	1002 m^2	0.9266	Games and Playable Media	chicken	1.0869	838	0.9985	320	Michael	1154	387	0.4988
6	602 m^2	1.1567	Computational Media	hamster	1.0763	1060	0.884	1122	Eriq	860	1106	0.6573
7	1101 m^2	0.6733	Data Science	cat	0.8564	1060	1.0991	925	Chris	1288	142	1.0579
2	1176 m^2	0.63	Games and Playable Media	rat	0.9417	1075	1.1325	298	Inan	1144	549	0.1882
5	1060 m^2	1.0397	Applied Mathematics	fish	0.7077	345	0.762	666	Fabrice	787	877	0.7524
8	1230 m^2	0.9348	Computer Science	rabbit	0.8962	1367	n/a	1125	Tony	954	1028	0.9431
5	713 m^2	1.15	Bioengineering	fish	0.5488	323	0.7969	855	Fabrice	1036	642	0.8665
3	1095 m^2	0.1865	Human Computer Interaction	ferret	0.8199	894	0.8927	1024	Andrew	909	1077	0.9227
6	740 m^2	0.9904	Technology and Information Management	pig	0.9171	911	0.968	1083	Eriq	1055	912	1.1801
0	179 m^2	-0.0554	Natural Language Processing	rabbit	0.9452	1092	0.3325	212	Reilly	356	1241	1.2111
4	1128 m^2	0.6827	Bioinformatics	bird	0.4916	736	0.8413	897	Lise	956	912	0.887
0	293 m^2	0.3752	Computer Engineering	rabbit	0.5345	1243	0.2726	175	Reilly	775	821	1.0204
7	881 m^2	0.6912	Natural Language Processing	cat	0.654	977	0.7406	1105	Chris	1087	-137	1.0451
4	933 m^2	1.0408	Human Computer Interaction	guinea pig	0.2171	768	1.0308	1073	Inan	972	610	0.66
7	1108 m^2	0.4991	Data Science	cat	0.4992	874	1.2501	815	Fabrice	1120	-71	0.9211
3	1320 m^2	0.4809	Computer Game Design	ferret	0.8212	1074	0.9613	811	Andrew	711	1022	0.6825
7	1107 m^2	0.8826	Data Science	cat	0.5518	1289	1.3183	712	Chris	1086	169	1.197
7	1071 m^2	0.8723	Data Science	cat	0.5493	935	1.1679	1096	Chris	1429	118	1.2775
5	794 m^2	1.4592	Computer Science	rat	0.5768	296	1.2223	654	Fabrice	1141	772	0.985
3	1142 m^2	0.1866	Computer Game Design	ferret	0.7925	911	0.9889	1041	Andrew	970	802	0.8916
4	1105 m^2	0.8712	Robotics Engineering	guinea pig	0.1848	878	0.7368	1102	Lise	1021	746	0.7626
6	760 m^2	0.7774	Technology and Information Management	pig	1.0306	975	0.9835	928	Eriq	1162	1107	1.2481
7	1029 m^2	0.3183	Data Science	cat	0.6489	1033	0.8937	1107	Chris	959	-278	1.1724
6	771 m^2	0.7169	Technology and Information Management	pig	1.1393	1075	1.12	1072	Eriq	703	776	0.8749
0	179 m^2	-0.0911	natural language processing	reptile	0.5846	913	0.1577	247	Reilly	954	805	0.8401
6	484 m^2	0.8542	Technology and Information Management	Cat	1.1176	715	0.8699	853	Eriq	1257	817	1.1732
5	1258 m^2	1.1844	Applied Mathematics	FISH	0.7387	590	0.7549	677	Fabrice	540	669	0.8142
